Date,Group1
2023-04-30T00:00:00+02:00,54.0
2023-04-30T01:00:00+02:00,43.0
2023-04-30T03:00:00+02:00,32.0
2023-04-30T04:00:00+02:00,19.0
2023-04-30T05:00:00+02:00,18.0
2023-04-30T06:00:00+02:00,21.0
2023-04-30T07:00:00+02:00,27.0
2023-04-30T08:00:00+02:00,13.0
2023-04-30T09:00:00+02:00,3.0
2023-04-30T10:00:00+02:00,0.0
2023-04-30T11:00:00+02:00,5.0
2023-04-30T12:00:00+02:00,8.0
2023-04-30T13:00:00+02:00,15.0
2023-04-30T14:00:00+02:00,12.0
2023-04-30T15:00:00+02:00,7.0
2023-04-30T16:00:00+02:00,16.0
2023-04-30T17:00:00+02:00,58.0
2023-04-30T18:00:00+02:00,86.0
2023-04-30T19:00:00+02:00,60.0
2023-04-30T20:00:00+02:00,24.0
2023-04-30T21:00:00+02:00,56.0
2023-04-30T22:00:00+02:00,73.0
2023-04-30T23:00:00+02:00,73.0
2023-05-01T00:00:00+02:00,54.0
2023-05-01T01:00:00+02:00,4.0
2023-05-01T03:00:00+02:00,11.0
2023-05-01T04:00:00+02:00,11.0
2023-05-01T05:00:00+02:00,5.0
2023-05-01T06:00:00+02:00,4.0
2023-05-01T07:00:00+02:00,2.0
2023-05-01T08:00:00+02:00,1.0
2023-05-01T09:00:00+02:00,30.0
2023-05-01T10:00:00+02:00,37.0
2023-05-01T11:00:00+02:00,42.0
2023-05-01T12:00:00+02:00,36.0
2023-05-01T13:00:00+02:00,24.0
2023-05-01T14:00:00+02:00,11.0
2023-05-01T15:00:00+02:00,11.0
2023-05-01T16:00:00+02:00,21.0
2023-05-01T17:00:00+02:00,32.0
2023-05-01T18:00:00+02:00,26.0
2023-05-01T19:00:00+02:00,35.0
2023-05-01T20:00:00+02:00,41.0
2023-05-01T21:00:00+02:00,68.0
2023-05-01T22:00:00+02:00,34.0
2023-05-01T23:00:00+02:00,28.0
2023-05-02T00:00:00+02:00,17.0
2023-05-02T01:00:00+02:00,12.0
2023-05-02T03:00:00+02:00,73.0
2023-05-02T04:00:00+02:00,59.0
2023-05-02T05:00:00+02:00,38.0
2023-05-02T06:00:00+02:00,44.0
2023-05-02T07:00:00+02:00,34.0
2023-05-02T08:00:00+02:00,30.0
2023-05-02T09:00:00+02:00,29.0
2023-05-02T10:00:00+02:00,19.0
2023-05-02T11:00:00+02:00,16.0
2023-05-02T12:00:00+02:00,13.0
2023-05-02T13:00:00+02:00,6.0
2023-05-02T14:00:00+02:00,0.0
2023-05-02T15:00:00+02:00,0.0
2023-05-02T16:00:00+02:00,0.0
2023-05-02T17:00:00+02:00,0.0
2023-05-02T18:00:00+02:00,0.0
2023-05-02T19:00:00+02:00,0.0
2023-05-02T20:00:00+02:00,5.0
2023-05-02T21:00:00+02:00,77.0
2023-05-02T22:00:00+02:00,100.0
2023-05-02T23:00:00+02:00,102.0
2023-05-03T00:00:00+02:00,193.0
2023-05-03T01:00:00+02:00,221.0
2023-05-03T03:00:00+02:00,206.0
2023-05-03T04:00:00+02:00,228.0
2023-05-03T05:00:00+02:00,226.0
2023-05-03T06:00:00+02:00,231.0
2023-05-03T07:00:00+02:00,233.0
2023-05-03T08:00:00+02:00,234.0
2023-05-03T09:00:00+02:00,232.0
2023-05-03T10:00:00+02:00,212.0
2023-05-03T11:00:00+02:00,193.0
2023-05-03T12:00:00+02:00,175.0
2023-05-03T13:00:00+02:00,171.0
2023-05-03T14:00:00+02:00,187.0
2023-05-03T15:00:00+02:00,194.0
2023-05-03T16:00:00+02:00,181.0
2023-05-03T17:00:00+02:00,190.0
2023-05-03T18:00:00+02:00,190.0
2023-05-03T19:00:00+02:00,190.0
2023-05-03T20:00:00+02:00,194.0
2023-05-03T21:00:00+02:00,201.0
2023-05-03T22:00:00+02:00,215.0
2023-05-03T23:00:00+02:00,230.0
2023-05-04T00:00:00+02:00,226.0
2023-05-04T01:00:00+02:00,208.0
2023-05-04T03:00:00+02:00,211.0
2023-05-04T04:00:00+02:00,145.0
2023-05-04T05:00:00+02:00,131.0
2023-05-04T06:00:00+02:00,72.0
2023-05-04T07:00:00+02:00,15.0
2023-05-04T08:00:00+02:00,79.0
2023-05-04T09:00:00+02:00,127.0
2023-05-04T10:00:00+02:00,104.0
2023-05-04T11:00:00+02:00,99.0
2023-05-04T12:00:00+02:00,137.0
2023-05-05T00:00:00+02:00,174.0
2023-05-06T17:00:00+02:00,7.0
2023-05-06T18:00:00+02:00,8.0
2023-05-06T19:00:00+02:00,8.0
2023-05-08T07:00:00+02:00,3.0
2023-05-08T08:00:00+02:00,5.0
2023-05-08T18:00:00+02:00,78.0
2023-05-08T19:00:00+02:00,79.0
2023-05-08T21:00:00+02:00,61.0
2023-05-08T22:00:00+02:00,60.0
2023-05-09T04:00:00+02:00,178.0
2023-05-09T05:00:00+02:00,114.0
2023-05-09T06:00:00+02:00,84.0
2023-05-10T09:00:00+02:00,168.0
2023-05-11T13:00:00+02:00,17.0
2023-05-11T14:00:00+02:00,9.0
2023-05-11T15:00:00+02:00,25.0
2023-05-11T16:00:00+02:00,38.0
2023-05-11T17:00:00+02:00,39.0
2023-05-11T18:00:00+02:00,42.0
2023-05-11T19:00:00+02:00,66.0
2023-05-11T20:00:00+02:00,99.0
2023-05-11T21:00:00+02:00,86.0
2023-05-11T22:00:00+02:00,70.0
2023-05-11T23:00:00+02:00,44.0
2023-05-12T00:00:00+02:00,41.0
2023-05-12T01:00:00+02:00,13.0
2023-05-12T03:00:00+02:00,78.0
2023-05-12T04:00:00+02:00,95.0
2023-05-12T05:00:00+02:00,62.0
2023-05-12T06:00:00+02:00,38.0
2023-05-12T07:00:00+02:00,28.0
2023-05-12T08:00:00+02:00,24.0
2023-05-12T09:00:00+02:00,13.0
2023-05-12T10:00:00+02:00,5.0
2023-05-12T11:00:00+02:00,12.0
2023-05-12T12:00:00+02:00,12.0
2023-05-12T13:00:00+02:00,1.0
2023-05-12T14:00:00+02:00,0.0
2023-05-12T15:00:00+02:00,3.0
2023-05-12T16:00:00+02:00,13.0
2023-05-12T17:00:00+02:00,46.0
2023-05-12T18:00:00+02:00,59.0
2023-05-12T19:00:00+02:00,67.0
2023-05-12T20:00:00+02:00,109.0
2023-05-12T21:00:00+02:00,219.0
2023-05-12T22:00:00+02:00,178.0
2023-05-12T23:00:00+02:00,156.0
2023-05-13T00:00:00+02:00,127.0
2023-05-13T01:00:00+02:00,119.0
2023-05-13T03:00:00+02:00,62.0
2023-05-13T04:00:00+02:00,66.0
2023-05-13T05:00:00+02:00,92.0
2023-05-13T06:00:00+02:00,94.0
2023-05-13T07:00:00+02:00,82.0
2023-05-13T08:00:00+02:00,84.0
2023-05-13T09:00:00+02:00,67.0
2023-05-13T10:00:00+02:00,60.0
2023-05-13T11:00:00+02:00,57.0
2023-05-13T12:00:00+02:00,66.0
2023-05-13T13:00:00+02:00,41.0
2023-05-13T14:00:00+02:00,33.0
2023-05-13T15:00:00+02:00,13.0
2023-05-13T16:00:00+02:00,15.0
2023-05-13T17:00:00+02:00,44.0
2023-05-13T18:00:00+02:00,132.0
2023-05-13T19:00:00+02:00,199.0
2023-05-13T20:00:00+02:00,155.0
2023-05-13T21:00:00+02:00,140.0
2023-05-13T22:00:00+02:00,121.0
2023-05-13T23:00:00+02:00,98.0
2023-05-14T00:00:00+02:00,84.0
2023-05-14T01:00:00+02:00,63.0
2023-05-14T03:00:00+02:00,62.0
2023-05-14T04:00:00+02:00,50.0
2023-05-14T05:00:00+02:00,63.0
2023-05-14T06:00:00+02:00,77.0
2023-05-14T07:00:00+02:00,70.0
2023-05-14T08:00:00+02:00,21.0
2023-05-14T09:00:00+02:00,16.0
2023-05-14T10:00:00+02:00,11.0
2023-05-14T11:00:00+02:00,4.0
2023-05-14T12:00:00+02:00,4.0
2023-05-14T13:00:00+02:00,5.0
2023-05-14T14:00:00+02:00,10.0
2023-05-14T15:00:00+02:00,21.0
2023-05-14T16:00:00+02:00,21.0
2023-05-14T17:00:00+02:00,49.0
2023-05-14T18:00:00+02:00,42.0
2023-05-14T19:00:00+02:00,41.0
2023-05-14T20:00:00+02:00,39.0
2023-05-14T21:00:00+02:00,74.0
2023-05-14T22:00:00+02:00,113.0
2023-05-14T23:00:00+02:00,139.0
2023-05-15T00:00:00+02:00,146.0
2023-05-15T01:00:00+02:00,95.0
2023-05-15T03:00:00+02:00,34.0
2023-05-15T04:00:00+02:00,44.0
2023-05-15T05:00:00+02:00,54.0
2023-05-15T06:00:00+02:00,41.0
