Date,Group1
2023-06-30T00:00:00+02:00,123.0
2023-06-30T01:00:00+02:00,166.0
2023-06-30T03:00:00+02:00,109.0
2023-06-30T04:00:00+02:00,57.0
2023-06-30T05:00:00+02:00,48.0
2023-06-30T06:00:00+02:00,37.0
2023-06-30T07:00:00+02:00,24.0
2023-06-30T08:00:00+02:00,9.0
2023-06-30T09:00:00+02:00,10.0
2023-06-30T10:00:00+02:00,3.0
2023-06-30T11:00:00+02:00,3.0
2023-06-30T12:00:00+02:00,31.0
2023-06-30T13:00:00+02:00,67.0
2023-06-30T14:00:00+02:00,72.0
2023-06-30T15:00:00+02:00,90.0
2023-06-30T16:00:00+02:00,61.0
2023-06-30T17:00:00+02:00,62.0
2023-06-30T18:00:00+02:00,77.0
2023-06-30T19:00:00+02:00,69.0
2023-06-30T20:00:00+02:00,57.0
2023-06-30T21:00:00+02:00,72.0
2023-06-30T22:00:00+02:00,106.0
2023-06-30T23:00:00+02:00,106.0
2023-07-01T00:00:00+02:00,118.0
2023-07-01T01:00:00+02:00,127.0
2023-07-01T03:00:00+02:00,174.0
2023-07-01T04:00:00+02:00,165.0
2023-07-01T05:00:00+02:00,162.0
2023-07-01T06:00:00+02:00,170.0
2023-07-01T07:00:00+02:00,187.0
2023-07-01T08:00:00+02:00,203.0
2023-07-01T09:00:00+02:00,162.0
2023-07-01T10:00:00+02:00,154.0
2023-07-01T11:00:00+02:00,131.0
2023-07-01T12:00:00+02:00,103.0
2023-07-01T13:00:00+02:00,124.0
2023-07-01T14:00:00+02:00,146.0
2023-07-01T15:00:00+02:00,161.0
2023-07-01T16:00:00+02:00,171.0
2023-07-01T17:00:00+02:00,170.0
2023-07-01T18:00:00+02:00,134.0
2023-07-01T19:00:00+02:00,101.0
2023-07-01T20:00:00+02:00,87.0
2023-07-01T21:00:00+02:00,114.0
2023-07-01T22:00:00+02:00,107.0
2023-07-01T23:00:00+02:00,109.0
2023-07-02T00:00:00+02:00,114.0
2023-07-02T01:00:00+02:00,96.0
2023-07-02T03:00:00+02:00,89.0
2023-07-02T04:00:00+02:00,85.0
2023-07-02T05:00:00+02:00,69.0
2023-07-02T06:00:00+02:00,65.0
2023-07-02T07:00:00+02:00,83.0
2023-07-02T08:00:00+02:00,64.0
2023-07-02T09:00:00+02:00,50.0
2023-07-02T10:00:00+02:00,27.0
2023-07-02T11:00:00+02:00,17.0
2023-07-02T12:00:00+02:00,16.0
2023-07-02T13:00:00+02:00,12.0
2023-07-02T14:00:00+02:00,21.0
2023-07-02T15:00:00+02:00,28.0
2023-07-02T16:00:00+02:00,52.0
2023-07-02T17:00:00+02:00,60.0
2023-07-02T18:00:00+02:00,74.0
2023-07-02T19:00:00+02:00,57.0
2023-07-02T20:00:00+02:00,48.0
2023-07-02T21:00:00+02:00,47.0
2023-07-02T22:00:00+02:00,51.0
2023-07-02T23:00:00+02:00,42.0
2023-07-03T00:00:00+02:00,36.0
2023-07-03T01:00:00+02:00,43.0
2023-07-03T03:00:00+02:00,88.0
2023-07-03T04:00:00+02:00,67.0
2023-07-03T05:00:00+02:00,49.0
2023-07-03T06:00:00+02:00,67.0
2023-07-03T07:00:00+02:00,46.0
2023-07-03T08:00:00+02:00,16.0
2023-07-03T09:00:00+02:00,2.0
2023-07-03T10:00:00+02:00,0.0
2023-07-03T11:00:00+02:00,0.0
2023-07-03T12:00:00+02:00,0.0
2023-07-03T13:00:00+02:00,0.0
2023-07-03T14:00:00+02:00,0.0
2023-07-03T15:00:00+02:00,3.0
2023-07-03T16:00:00+02:00,8.0
