Date,Group2
2023-03-03T20:00:00+01:00,22.0
2023-03-03T21:00:00+01:00,30.0
2023-03-03T22:00:00+01:00,124.0
2023-03-03T23:00:00+01:00,161.0
2023-03-04T00:00:00+01:00,128.0
2023-03-04T01:00:00+01:00,102.0
2023-03-04T02:00:00+01:00,85.0
2023-03-04T03:00:00+01:00,79.0
2023-03-04T04:00:00+01:00,72.0
2023-03-04T05:00:00+01:00,100.0
2023-03-04T06:00:00+01:00,113.0
2023-03-04T07:00:00+01:00,105.0
2023-03-04T08:00:00+01:00,99.0
2023-03-04T09:00:00+01:00,103.0
2023-03-04T10:00:00+01:00,91.0
2023-03-04T11:00:00+01:00,82.0
2023-03-04T12:00:00+01:00,49.0
2023-03-04T13:00:00+01:00,46.0
2023-03-04T14:00:00+01:00,36.0
2023-03-04T15:00:00+01:00,26.0
2023-03-04T16:00:00+01:00,34.0
2023-03-04T17:00:00+01:00,43.0
2023-03-04T18:00:00+01:00,48.0
2023-03-04T19:00:00+01:00,83.0
2023-03-04T20:00:00+01:00,78.0
2023-03-04T21:00:00+01:00,94.0
2023-03-04T22:00:00+01:00,108.0
2023-03-04T23:00:00+01:00,123.0
2023-03-05T00:00:00+01:00,106.0
2023-03-05T01:00:00+01:00,81.0
2023-03-05T02:00:00+01:00,59.0
2023-03-05T03:00:00+01:00,41.0
2023-03-05T04:00:00+01:00,26.0
2023-03-05T05:00:00+01:00,24.0
2023-03-05T06:00:00+01:00,29.0
2023-03-05T07:00:00+01:00,21.0
2023-03-05T08:00:00+01:00,20.0
2023-03-05T09:00:00+01:00,17.0
2023-03-05T10:00:00+01:00,14.0
2023-03-05T11:00:00+01:00,12.0
2023-03-05T12:00:00+01:00,11.0
2023-03-05T13:00:00+01:00,9.0
2023-03-05T14:00:00+01:00,10.0
2023-03-05T15:00:00+01:00,11.0
2023-03-05T16:00:00+01:00,8.0
2023-03-05T17:00:00+01:00,5.0
2023-03-05T18:00:00+01:00,6.0
2023-03-05T19:00:00+01:00,12.0
2023-03-05T20:00:00+01:00,18.0
2023-03-05T21:00:00+01:00,24.0
2023-03-05T22:00:00+01:00,25.0
2023-03-05T23:00:00+01:00,21.0
2023-03-06T00:00:00+01:00,11.0
2023-03-06T01:00:00+01:00,5.0
2023-03-06T02:00:00+01:00,2.0
2023-03-06T03:00:00+01:00,5.0
2023-03-06T04:00:00+01:00,11.0
2023-03-06T05:00:00+01:00,28.0
2023-03-06T06:00:00+01:00,24.0
2023-03-06T07:00:00+01:00,13.0
2023-03-06T08:00:00+01:00,5.0
2023-03-06T09:00:00+01:00,0.0
2023-03-06T10:00:00+01:00,0.0
2023-03-06T11:00:00+01:00,0.0
2023-03-06T12:00:00+01:00,0.0
2023-03-06T13:00:00+01:00,0.0
2023-03-06T14:00:00+01:00,0.0
2023-03-06T15:00:00+01:00,3.0
2023-03-06T16:00:00+01:00,3.0
2023-03-06T17:00:00+01:00,4.0
2023-03-06T18:00:00+01:00,4.0
2023-03-06T19:00:00+01:00,1.0
2023-03-06T20:00:00+01:00,2.0
2023-03-06T21:00:00+01:00,0.0
2023-03-06T22:00:00+01:00,3.0
2023-03-06T23:00:00+01:00,5.0
2023-03-07T00:00:00+01:00,15.0
2023-03-07T01:00:00+01:00,27.0
2023-03-07T02:00:00+01:00,41.0
2023-03-07T03:00:00+01:00,41.0
2023-03-07T04:00:00+01:00,16.0
2023-03-07T05:00:00+01:00,13.0
2023-03-07T06:00:00+01:00,9.0
2023-03-07T07:00:00+01:00,5.0
2023-03-07T08:00:00+01:00,14.0
2023-03-07T09:00:00+01:00,11.0
2023-03-07T10:00:00+01:00,23.0
2023-03-07T11:00:00+01:00,44.0
2023-03-07T12:00:00+01:00,48.0
2023-03-07T13:00:00+01:00,108.0
2023-03-07T14:00:00+01:00,146.0
2023-03-07T15:00:00+01:00,134.0
2023-03-07T16:00:00+01:00,104.0
2023-03-07T17:00:00+01:00,124.0
2023-03-07T18:00:00+01:00,159.0
2023-03-07T19:00:00+01:00,180.0
2023-03-07T20:00:00+01:00,213.0
2023-03-07T21:00:00+01:00,210.0
2023-03-07T22:00:00+01:00,224.0
2023-03-07T23:00:00+01:00,215.0
2023-03-08T00:00:00+01:00,234.0
2023-03-08T01:00:00+01:00,237.0
2023-03-08T02:00:00+01:00,236.0
2023-03-08T03:00:00+01:00,238.0
2023-03-08T04:00:00+01:00,237.0
2023-03-08T05:00:00+01:00,236.0
2023-03-08T06:00:00+01:00,235.0
2023-03-08T07:00:00+01:00,237.0
2023-03-08T08:00:00+01:00,226.0
2023-03-08T09:00:00+01:00,181.0
2023-03-08T10:00:00+01:00,229.0
2023-03-08T11:00:00+01:00,234.0
2023-03-08T12:00:00+01:00,237.0
2023-03-08T13:00:00+01:00,237.0
2023-03-08T14:00:00+01:00,237.0
2023-03-08T15:00:00+01:00,237.0
2023-03-08T16:00:00+01:00,237.0
2023-03-08T17:00:00+01:00,236.0
2023-03-08T18:00:00+01:00,236.0
2023-03-08T19:00:00+01:00,237.0
2023-03-08T20:00:00+01:00,237.0
2023-03-08T21:00:00+01:00,237.0
2023-03-08T22:00:00+01:00,237.0
2023-03-08T23:00:00+01:00,237.0
2023-03-09T00:00:00+01:00,235.0
2023-03-09T01:00:00+01:00,224.0
2023-03-09T02:00:00+01:00,236.0
2023-03-09T03:00:00+01:00,235.0
2023-03-09T04:00:00+01:00,235.0
2023-03-09T05:00:00+01:00,229.0
2023-03-09T06:00:00+01:00,214.0
